year,month,day,ADBE,AMD,ADI,AAPL,AMAT,ADSK,GLW,HPQ,IBM,INTC,MU,MSFT,MSI,ORCL,SWKS,TER,TXN,TYL,WDC,
2006,02,28,-0.013094183,-0.03380211,-0.016803412,-0.042382798,-0.016326646,-0.032654071,0.001069101,0.022130493,-0.004625582,-0.011503055,0.023883158,-0.018759929,-0.025803849,-0.005214144,-0.001654382,-0.015994948,0.009113337,0.056554402,0.007681196,
2006,03,31,-0.042577202,-0.06675965,0.00170474,-0.038217418,-0.019639671,0.009921298,0.042507813,0.002233823,0.011905442,-0.024724134,-0.022701535,0.005461553,0.030442082,0.042284142,0.110249191,-0.034439571,0.036539933,0.045319031,-0.058859341,
2006,04,28,0.049838887,-0.010740237,-0.004216953,0.050093885,0.010780689,0.037976429,0.011305714,-0.005714602,-0.000685144,0.011451623,0.061772869,-0.051813108,-0.030627033,0.027650429,0.022470394,0.036245848,0.029342593,0.001182827,0.034572918,
2006,05,31,-0.136464719,-0.020056377,-0.04877545,-0.07102467,-0.024708452,-0.062680652,-0.056668568,-0.001202707,-0.011495497,-0.042578423,-0.010620346,-0.02616338,-0.005321718,-0.011155428,-0.100883848,-0.034568292,-0.045883134,-0.016042248,-0.014479041,
2006,06,30,0.025480419,-0.102072249,-0.020970895,-0.018553676,-0.016489512,-0.023666782,-0.001076161,-0.00833348,-0.017072475,0.022996674,-0.041236448,0.012287489,-0.018703595,0.008169489,-0.01166664,-0.048339818,-0.013273412,0.022684758,-0.011682189,
2006,07,31,-0.02730455,-0.100167851,0.002560479,0.074320823,-0.014096978,-0.004433554,-0.103284869,0.00314096,0.003323076,-0.02348174,0.015019543,0.013939453,0.052897485,0.014151029,-0.098687834,-0.025354897,-0.006931908,0.030686445,-0.052853269,
2006,08,31,0.056083628,0.110188447,-0.020862175,-0.000700629,0.031711471,0.008198048,0.066588835,0.05908171,0.021253024,0.038817491,0.044698304,0.030223983,0.011672569,0.019571686,0.023122301,0.028770734,0.039158455,0.036703276,0.01842146,
2006,09,29,0.062486928,-0.002439863,-0.018089325,0.054822377,0.020822397,0.00024981,0.040627237,0.002496411,0.005172275,0.021643557,0.003005192,0.02702403,0.029998666,0.054162242,0.049581109,-0.028109917,0.008707184,-0.005009219,-0.004772662,
2006,10,31,0.009063666,-0.067558903,0.034502565,0.022534771,-0.008406985,0.023927766,-0.077299083,0.023610625,0.051846062,0.015961898,-0.080681243,0.021074792,-0.035080897,0.017510892,0.106346853,0.027490546,-0.041491554,0.040383871,0.004297453,
2006,11,30,0.021162265,0.006082655,0.011543946,0.053281073,0.016385049,0.049428999,0.023379536,0.007996524,-0.000527806,0.003230465,0.004484536,0.011206653,-0.017093709,0.013428353,0.03822209,0.026440274,-0.009161452,0.007885452,0.050200543,
2006,12,29,0.010259402,-0.025285732,0.004649406,-0.033587992,0.010484132,-0.007660464,-0.061575653,0.019502515,0.024033275,-0.023887368,-0.01946535,0.007333267,-0.031692027,-0.045883343,-0.009705431,0.001746096,-0.011165396,-0.011882526,-0.00127256,
2007,01,31,-0.024438565,-0.11683402,-0.00158731,0.004530457,-0.017290385,0.033654275,0.046823646,0.021496059,0.008849424,0.014965908,-0.032615358,0.014307164,-0.01526225,0.000507548,-0.032463848,-0.001746096,0.035184813,-0.00497052,-0.01864829,
2007,02,28,0.00422512,-0.013617141,0.044814635,-0.005704572,0.021298068,-0.026310314,-0.004396577,-0.041342561,-0.026782511,-0.021121554,-0.038184413,-0.038115751,-0.030120018,-0.018880296,0.001974123,0.033907679,-0.003214205,-0.008518944,-0.009633282,
2007,03,30,0.026296394,-0.062170075,-0.020135091,0.040636107,-0.005887061,-0.039181995,0.042291661,0.009493914,0.00612475,-0.016265197,0.007981361,-0.004648717,-0.01921551,0.042758887,-0.059868456,0.011440746,-0.012235438,-0.030692135,-0.057055596,
2007,04,30,-0.001460516,0.024564866,0.049118582,0.031074898,0.020827669,0.040446624,0.018322691,0.021116371,0.035165877,0.050722987,-0.022504844,0.031113759,-0.008438213,0.015760498,0.078548254,0.023260575,0.058601,-0.026435816,0.021914792,
2007,05,31,0.02536994,0.01391593,-0.02579943,0.084329383,-0.001403293,0.041899419,0.022825337,0.035315623,0.019941995,0.01576438,0.026084806,0.012150326,0.021034235,0.013196167,0.012428894,-0.010836598,0.012332198,0.006492896,0.026907809,
2007,06,29,-0.040359929,0.000912064,0.01682193,0.003034798,0.017162035,0.015302567,0.009451745,-0.009724869,-0.005535068,0.029518995,0.012302462,-0.017618774,-0.010659384,0.007333497,0.015634873,0.014060125,0.027022304,0.009910981,0.012291693,
2007,07,31,0.001511718,-0.023717373,-0.026034375,0.033281097,0.045016092,-0.04577799,-0.030084925,0.013513683,0.021729189,-0.002200809,-0.023497796,-0.0071315,-0.017779385,-0.013198045,0.032440318,-0.049396647,-0.028127001,-0.013506154,0.042715623,
2007,08,31,0.025738852,-0.017675312,0.019305074,0.021610618,-0.012387326,0.038710087,-0.007726935,0.030244665,0.024617047,0.039536459,-0.015647322,-0.002379016,-0.001023904,0.025577804,-0.001644469,-0.022729157,-0.011886265,0.090875524,0.03907517,
2007,09,28,0.009147612,0.006630579,-0.008563244,0.044630629,-0.013629134,0.032940799,0.02315722,0.004564468,0.004112059,0.001852076,-0.013481044,0.010896342,0.039963683,0.028390805,0.059088126,-0.033015618,0.02882959,-0.045659885,0.034991546,
2007,10,31,0.040251782,-0.003966187,-0.033702636,0.092614566,-0.02772259,-0.00940049,-0.006746905,0.01617878,-0.006238472,0.017123885,-0.02372179,0.09673325,0.006051006,0.010307896,0.008560424,-0.048564043,-0.048798646,0.081883772,0.010171612,
2007,11,30,-0.055640982,-0.127157926,-0.03625616,-0.018038799,-0.012001016,-0.016380169,0.001278318,-0.004391047,-0.041413026,-0.01162824,-0.101477834,-0.038241356,-0.070621997,-0.040844803,-0.006641555,-0.054285092,-0.013942093,-0.029540066,0.027744857,
2007,12,31,0.006038362,-0.114388554,0.01527922,0.036239705,-0.025406058,0.023951681,-0.005397072,-0.005142875,0.011892764,0.009551376,-0.059784357,0.025109458,0.003238992,0.048804536,-0.028667789,-0.022506194,0.024471335,-0.067572055,0.038770888,
2008,01,31,-0.087534307,0.005180513,-0.048352743,-0.165344139,0.00389487,-0.082510532,0.003066924,-0.062440855,-0.003995687,-0.10157637,-0.015865351,-0.038231365,-0.144506947,-0.040914039,-0.023620337,0.026473479,-0.031658525,0.018469367,-0.057726533,
2008,02,29,-0.016213517,-0.022306511,-0.02263228,-0.034512773,0.030722365,-0.121749118,-0.016137696,0.038476807,0.028215199,-0.021162287,0.03174343,-0.07695746,-0.06200272,-0.038653818,0.011178231,0.03782204,-0.014117406,0.012727489,0.067111498,
2008,03,31,0.024342919,-0.08781997,0.042868642,0.059873295,0.007635247,0.005414002,0.014884335,-0.018875658,0.004854962,0.025549951,-0.100246115,0.018444174,-0.02804763,0.017211599,-0.054846723,0.015303454,-0.025217003,0.004057398,-0.057529266,
2008,04,30,0.020264395,0.005130965,0.037874651,0.083574432,-0.019344321,0.081748873,0.045739711,0.006514304,0.020481176,0.021599303,0.111644354,0.00213813,0.029776588,0.027737012,0.076892358,0.029403641,0.014938034,0.01496136,0.030241045,
2008,05,30,0.072452109,0.062342178,0.039963812,0.035459642,0.027282455,0.034691769,0.010915068,0.006602123,0.032073157,0.020193411,0.019259734,-0.001455051,-0.02837863,0.03959027,0.075076695,0.014462932,0.04682937,0.037087682,0.11213024,
2008,06,30,-0.048658512,-0.071919883,-0.043414304,-0.05203275,-0.016078183,-0.085430195,-0.074125445,-0.026403332,-0.038206984,-0.033079364,-0.128727391,-0.012603396,-0.101768713,-0.03647676,-0.019780025,-0.093840733,-0.06198384,-0.064976365,-0.036181654,
2008,07,31,0.021089533,-0.141386459,-0.01757602,-0.022594185,-0.042257017,-0.025390652,-0.061425142,0.005757562,0.033314,0.01412459,-0.09420256,-0.02922045,0.070817346,0.010824021,-0.018427755,-0.072407967,-0.060814132,0.070996927,-0.078955234,
2008,08,29,0.015272561,0.17436855,-0.034832697,0.027985072,0.016196702,0.046940688,0.012388416,0.020077911,-0.020066523,0.015739896,-0.056585342,0.027478738,0.037537885,0.007994499,0.010877958,-0.001858775,0.00231009,0.00620624,-0.023714925,
2008,09,30,-0.035480948,-0.078491342,-0.025756724,-0.173636282,-0.073498989,-0.024902683,-0.118364019,-0.005579785,-0.017360328,-0.08672524,-0.019908872,-0.009655264,-0.117679752,-0.033329187,-0.064565431,-0.077232247,-0.056905064,-0.028797434,-0.106739056,
2008,10,31,-0.170732906,-0.176091259,-0.091180801,-0.023842041,-0.068913017,-0.197109075,-0.159610591,-0.082047421,-0.099694534,-0.067580268,0.065569159,-0.077459701,-0.123724594,-0.045493761,-0.069117098,-0.185078806,-0.038441608,-0.047766124,-0.11209353,
2008,11,28,-0.060795665,-0.171156041,-0.096604503,-0.064825841,-0.127134844,-0.108737064,-0.077629597,-0.035441934,-0.054109981,-0.061062775,-0.235268868,-0.040239184,-0.095498003,-0.055658293,-0.121496336,-0.128929654,-0.099082565,-0.031816106,-0.130333441,
2008,12,31,-0.036562894,-0.038458252,0.051205724,-0.035734221,0.024245853,0.073516169,0.024370568,0.01325632,0.013415484,0.026254487,-0.016144798,-0.01708666,0.017192015,0.042151151,0.011922783,0.046676119,-0.001394218,-0.022946533,-0.027556392,
2009,01,30,-0.042393388,0.005990364,0.021384096,0.023666861,-0.033871017,-0.074302222,0.025658294,-0.018833666,0.037027452,-0.055539892,0.148936306,-0.055699545,0,-0.02262354,-0.108027196,0.056831422,-0.013192966,0.021568912,0.107922653,
2009,02,27,-0.063065803,-0.001987621,-0.03014783,-0.003968975,-0.004798613,-0.11559871,0.020569746,-0.078107,0.004048973,-0.001065054,-0.062693431,-0.021712014,-0.099860095,-0.034632826,0.177430614,-0.066192258,-0.017788931,0.033832395,-0.03127674,
